Line,Product,Tank,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y
18,A,310,,,,,,,72036.0,
18,A,311,,,,107700.0,,,,
18,A,313,,,8000.0,,,,,
18,A,314,,10500.0,,63308.0,,,,
18,A,317,10000.0,,,49594.0,,121577.0,,
18,A,330,115653.0,,25364.0,,,,,
18,A,331,106072.0,,,,,,,
18,A,332,97422.0,,,,,,,
18,A,333,,,,,,34280.0,,
18,A,334,,,,19000.0,185135.0,52817.0,89675.99999999999,43796.0
18,A,336,51852.0,107523.0,,,27283.0,,,
18,A,338,,148615.0,148615.0,,162680.99999999997,,74898.0,119985.0
18,A,339,,155862.0,157521.0,,5893.0,213842.0,102888.0,75808.0
18,D,312,37651.0,14500.0,,,,,28002.0,
18,D,316,5349.0,,,,42997.0,14499.0,,
18,D,337,,,28000.0,32500.0,,,,32500.999999999996
19,54,352,,,,,57051.99999999781,10000.0,,
19,62,360,,,,,60003.0,272116.00000000006,,
19,62,371,,,,,,,,8.9999999999984
19,62,373,,,,,,,,10233.999999999998
19,62,376,,,,,,,51371.0,5.0000000000095
19,A,310,82919.0,,,,,,130612.0,
19,A,311,108115.0,,,,,,,
19,A,313,,,,,,19991.0,,
19,A,317,,,289601.0,245788.0,,,,
19,A,330,,,,5000.0,,,,
19,A,331,,3915.0,,,,,,
19,A,332,,104486.0,,,,,,
19,A,333,197466.0,194237.0,,,,92283.0,,
19,A,334,,104362.0,104399.0,,8776.0,19425.0,28140.0,
19,A,338,,,,,331335.00000000006,,40190.0,184334.0
19,A,339,,,,,48385.0,275324.0,195052.0,66420.0
19,D,312,,45000.0,,35000.0,55500.0,,64992.00000000001,
19,D,316,,,65000.0,,,3750.0,,
19,D,337,55500.0,,,,,41250.0,,34998.00000000001
1A,A,310,,,,,,,34723.0,
1A,A,311,,,37500.0,,,,,
1A,A,313,,,,,,23959.0,,
1A,A,314,,,,39000.0,,,,
1A,A,317,52000.0,25000.0,,,,,,
1A,A,330,,67500.0,,,,,,
1A,A,333,,,,,,,,
1A,A,334,,,,,,32293.0,,38996.0
1A,A,336,,,,,2385.0,,,
1A,A,338,,,,,49659.0,,2778.0,
1A,A,339,,,,,,33751.99999999999,,
1A,D,312,,7500.0,,8500.0,9000.0,,,
1A,D,316,,,7500.0,,,,7500.0,
