Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,01,BATCHSTART,10/1/2023 2:42:17 PM,MXE-D3-521,,,25000,25000,20784
ATJ,01,BATCHSTOP,10/1/2023 3:54:27 PM,MXE-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 3:54:27 PM,PHI-D3-521,,,15000,15000,20784
ATJ,01,BATCHSTOP,10/1/2023 4:37:45 PM,PHI-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 4:37:45 PM,TAR-D3-521,,,5000,5000,20784
ATJ,01,BATCHSTOP,10/1/2023 4:52:11 PM,TAR-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 4:52:11 PM,BPO-D3-521,,,29500,29500,20784
ATJ,01,BATCHSTOP,10/1/2023 6:17:21 PM,BPO-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 6:17:21 PM,VAL-D3-52D,,,15000,15000,20784
ATJ,01,BATCHSTOP,10/1/2023 7:00:39 PM,VAL-D3-52D,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 7:00:39 PM,SHT-D3-52B,,,12500,12500,20784
ATJ,01,BATCHSTOP,10/1/2023 7:36:44 PM,SHT-D3-52B,,,0,0,0
ATJ,01,SUPERSTOP,10/1/2023 7:36:45 PM,JA1-D3-521,,,0,0,0
ATJ,02,SUPERSTART,9/24/2023 9:26:14 AM,JA1-54-521,,,346980,347000,8303
ATJ,02,BATCHSTART,9/24/2023 9:26:14 AM,AAL-54-521,,,12500,12500,8303
ATJ,02,BATCHSTOP,9/24/2023 10:56:34 AM,AAL-54-521,,,0,0,0
ATJ,02,BATCHSTART,9/24/2023 10:56:34 AM,BZA-54-521,,,10000,10000,8303
ATJ,02,BATCHSTOP,9/24/2023 12:08:49 PM,BZA-54-521,,,0,0,0
ATJ,02,BATCHSTART,9/24/2023 12:08:49 PM,EPV-54-521,,,15000,15000,8303
ATJ,02,BATCHSTOP,9/24/2023 1:57:13 PM,EPV-54-521,,,0,0,0
ATJ,02,BATCHSTART,9/24/2023 1:57:13 PM,ETI-54-521,,,199000,199000,8303
ATJ,02,BATCHSTOP,9/25/2023 1:55:15 PM,ETI-54-521,,,0,0,0
ATJ,02,BATCHSTART,9/25/2023 1:55:15 PM,PHI-54-521,,,8000,8000,8303
ATJ,02,BATCHSTOP,9/25/2023 2:53:04 PM,PHI-54-521,,,0,0,0
ATJ,02,BATCHSTART,9/25/2023 2:53:04 PM,SWJ-54-521,,,35000,35000,8303
