"Tank Farm","Line","Event Type","Event Date Time","Batch","Sup/Con","Tankage","Actual","Total","BPH"
"ATJ","01","BATCHSTART","9/10/2023 9:23:10 AM","VAL-A2-49E","","","11500","11500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 9:59:15 AM","VAL-A2-49E","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 9:59:15 AM","MAC-A2-492","","","97500","97500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 3:05:09 PM","MAC-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 3:05:09 PM","MAC-A2-494","","","33500","33500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 4:50:15 PM","MAC-A2-494","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 4:50:15 PM","MAC-A2-493","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 6:10:15 PM","MAC-A2-493","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 6:10:15 PM","MOB-A2-491","","","7500","7500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 6:33:47 PM","MOB-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 6:33:47 PM","CHV-A2-492","","","8000","8000","19124"
"ATJ","01","BATCHSTOP","9/10/2023 6:58:53 PM","CHV-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 6:58:53 PM","PHI-A2-494","","","8000","17500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 7:23:59 PM","PHI-A2-494","","","0","0","0"
"ATJ","01","SUPERSTOP","9/10/2023 7:23:59 PM","JA1-A2-491","","","0","0","0"
"ATJ","01","SUPERSTART","9/12/2023 10:54:27 AM","JA1-V3-491","","","58500","58500","57500"
"ATJ","01","BATCHSTART","9/12/2023 10:54:27 AM","RKO-V3-491","","","26000","26000","57500"
"ATJ","01","BATCHSTOP","9/12/2023 11:21:35 AM","RKO-V3-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 11:21:35 AM","TAR-V3-491","","","20000","20000","57500"
"ATJ","01","BATCHSTOP","9/12/2023 11:42:27 AM","TAR-V3-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 11:42:27 AM","MUC-V3-491","","","7500","7500","57500"
"ATJ","01","BATCHSTOP","9/12/2023 11:50:16 AM","MUC-V3-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 11:50:16 AM","PBF-V3-491","","","5000","15000","57500"
"ATJ","01","BATCHSTOP","9/12/2023 11:55:29 AM","PBF-V3-491","","","0","0","0"
"ATJ","01","SUPERSTOP","9/12/2023 11:55:29 AM","JA1-V3-491","","","0","0","0"
"ATJ","01","SUPERSTART","9/12/2023 11:55:29 AM","JA1-D2-491","","","204000","204000","27692"
"ATJ","01","BATCHSTART","9/12/2023 11:55:29 AM","BPO-D2-491","","","19500","19500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 12:37:44 PM","BPO-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 12:37:44 PM","CIT-D2-491","","","8500","8500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 12:56:09 PM","CIT-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 12:56:09 PM","CNL-D2-491","","","7500","7500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 1:12:24 PM","CNL-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 1:12:24 PM","TAR-D2-491","","","10000","10000","27692"
"ATJ","01","BATCHSTOP","9/12/2023 1:34:04 PM","TAR-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 1:34:04 PM","MOB-D2-491","","","5000","5000","27692"
"ATJ","01","BATCHSTOP","9/12/2023 1:44:54 PM","MOB-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 1:44:54 PM","MUC-D2-492","","","3500","3500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 1:52:29 PM","MUC-D2-492","","","0","0","0"
