,Tank Farm,Line,Event Type,Start Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch,Stop Date Time,Start,Stop
173,ATJ,02,BATCHSTART,9/29/2023 10:40:12 AM,UET-62-521,,,5000,5000,12167,JA1-62-521,9/29/2023 11:04:52 AM,2023-09-29 10:40:12,2023-09-29 11:04:52
175,ATJ,02,BATCHSTART,9/29/2023 11:04:52 AM,VAL-62-52D,,,53000,53000,12167,JA1-62-521,9/29/2023 3:26:13 PM,2023-09-29 11:04:52,2023-09-29 15:26:13
177,ATJ,02,BATCHSTART,9/29/2023 3:26:13 PM,VTL-62-521,,,20000,20000,12167,JA1-62-521,9/29/2023 5:04:51 PM,2023-09-29 15:26:13,2023-09-29 17:04:51
179,ATJ,02,BATCHSTART,9/29/2023 5:04:51 PM,WAC-62-522,,,5000,5000,12167,JA1-62-521,9/29/2023 5:29:30 PM,2023-09-29 17:04:51,2023-09-29 17:29:30
181,ATJ,02,BATCHSTART,9/29/2023 5:29:30 PM,WFS-62-52P,,,2500,2500,12167,JA1-62-521,9/29/2023 5:41:50 PM,2023-09-29 17:29:30,2023-09-29 17:41:50
183,ATJ,02,BATCHSTART,9/29/2023 5:41:50 PM,WFS-62-521,,,5000,5000,12167,JA1-62-521,9/29/2023 6:06:30 PM,2023-09-29 17:41:50,2023-09-29 18:06:30
185,ATJ,02,BATCHSTART,9/29/2023 6:06:30 PM,PCA-62-520,,,12000,12000,12167,JA1-62-521,9/29/2023 7:05:40 PM,2023-09-29 18:06:30,2023-09-29 19:05:40
187,ATJ,02,BATCHSTART,9/29/2023 7:05:40 PM,CHV-62-521,,,10000,10000,12167,JA1-62-521,9/29/2023 7:54:59 PM,2023-09-29 19:05:40,2023-09-29 19:54:59
189,ATJ,02,BATCHSTART,9/29/2023 7:54:59 PM,CUM-62-521,,,5000,5000,12167,JA1-62-521,9/29/2023 8:19:38 PM,2023-09-29 19:54:59,2023-09-29 20:19:38
191,ATJ,02,BATCHSTART,9/29/2023 8:19:38 PM,USO-62-521,,,10000,10000,12167,JA1-62-521,9/29/2023 9:08:57 PM,2023-09-29 20:19:38,2023-09-29 21:08:57
193,ATJ,02,BATCHSTART,9/29/2023 9:08:57 PM,CYG-62-521,,,14965,15000,12167,JA1-62-521,9/29/2023 10:22:45 PM,2023-09-29 21:08:57,2023-09-29 22:22:45
197,ATJ,13,BATCHSTART,9/25/2023 7:58:28 AM,EPV-54-521,,,5000,5000,1925,JA1-54-521,9/25/2023 10:34:19 AM,2023-09-25 07:58:28,2023-09-25 10:34:19
199,ATJ,13,BATCHSTART,9/25/2023 10:34:19 AM,WFS-54-521,,,5000,5000,1925,JA1-54-521,9/25/2023 1:10:10 PM,2023-09-25 10:34:19,2023-09-25 13:10:10
203,ATJ,13,BATCHSTART,9/25/2023 1:10:10 PM,FGX-96-52B,,,3500,3500,1925,JA1-96-521,9/25/2023 2:59:15 PM,2023-09-25 13:10:10,2023-09-25 14:59:15
207,ATJ,13,BATCHSTART,9/28/2023 12:59:00 AM,BPO-62-521,,,3500,3500,1925,JA1-62-521,9/28/2023 2:48:05 AM,2023-09-28 00:59:00,2023-09-28 02:48:05
209,ATJ,13,BATCHSTART,9/28/2023 2:48:05 AM,CIT-62-521,,,11000,11000,1925,JA1-62-521,9/28/2023 8:30:56 AM,2023-09-28 02:48:05,2023-09-28 08:30:56
211,ATJ,13,BATCHSTART,9/28/2023 8:30:56 AM,CNL-62-521,,,2500,2500,1925,JA1-62-521,9/28/2023 9:48:52 AM,2023-09-28 08:30:56,2023-09-28 09:48:52
213,ATJ,13,BATCHSTART,9/28/2023 9:48:52 AM,FHR-62-521,,,2500,2500,1925,JA1-62-521,9/28/2023 11:06:47 AM,2023-09-28 09:48:52,2023-09-28 11:06:47
215,ATJ,13,BATCHSTART,9/28/2023 11:06:47 AM,MTV-62-521,,,27500,27500,1925,JA1-62-521,9/29/2023 1:23:56 AM,2023-09-28 11:06:47,2023-09-29 01:23:56
217,ATJ,13,BATCHSTART,9/29/2023 1:23:56 AM,MUC-62-522,,,3500,3500,1925,JA1-62-521,9/29/2023 3:13:01 AM,2023-09-29 01:23:56,2023-09-29 03:13:01
219,ATJ,13,BATCHSTART,9/29/2023 3:13:01 AM,MXE-62-521,,,2500,2500,1925,JA1-62-521,9/29/2023 4:30:56 AM,2023-09-29 03:13:01,2023-09-29 04:30:56
221,ATJ,13,BATCHSTART,9/29/2023 4:30:56 AM,PHI-62-521,,,2500,2500,1925,JA1-62-521,9/29/2023 5:48:52 AM,2023-09-29 04:30:56,2023-09-29 05:48:52
223,ATJ,13,BATCHSTART,9/29/2023 5:48:52 AM,PTC-62-521,,,2500,2500,1925,JA1-62-521,9/29/2023 7:06:47 AM,2023-09-29 05:48:52,2023-09-29 07:06:47
225,ATJ,13,BATCHSTART,9/29/2023 7:06:47 AM,QTC-62-521,,,12500,12500,1925,JA1-62-521,9/29/2023 1:36:24 PM,2023-09-29 07:06:47,2023-09-29 13:36:24
227,ATJ,13,BATCHSTART,9/29/2023 1:36:24 PM,TAR-62-521,,,5000,5000,1925,JA1-62-521,9/29/2023 4:12:14 PM,2023-09-29 13:36:24,2023-09-29 16:12:14
229,ATJ,13,BATCHSTART,9/29/2023 4:12:14 PM,VAL-62-52D,,,8000,8000,1925,JA1-62-521,9/29/2023 8:21:35 PM,2023-09-29 16:12:14,2023-09-29 20:21:35
231,ATJ,13,BATCHSTART,9/29/2023 8:21:35 PM,MXE-62-522,,,2500,2500,1925,JA1-62-521,9/29/2023 9:39:31 PM,2023-09-29 20:21:35,2023-09-29 21:39:31
233,ATJ,13,BATCHSTART,9/29/2023 9:39:31 PM,CHV-62-521,,,10000,10000,1925,JA1-62-521,9/30/2023 2:51:12 AM,2023-09-29 21:39:31,2023-09-30 02:51:12
237,ATJ,14,BATCHSTART,9/22/2023 5:28:34 AM,BPO-A3-521,,,20000,20000,2100,JA1-A3-521,9/22/2023 3:00:00 PM,2023-09-22 05:28:34,2023-09-22 15:00:00
239,ATJ,14,BATCHSTART,9/22/2023 3:00:00 PM,BZA-A3-521,,,12500,12500,2100,JA1-A3-521,9/22/2023 8:57:08 PM,2023-09-22 15:00:00,2023-09-22 20:57:08
241,ATJ,14,BATCHSTART,9/22/2023 8:57:08 PM,CWH-A3-521,,,5000,5000,2100,JA1-A3-521,9/22/2023 11:20:00 PM,2023-09-22 20:57:08,2023-09-22 23:20:00
243,ATJ,14,BATCHSTART,9/22/2023 11:20:00 PM,MOB-A3-521,,,20000,20000,2100,JA1-A3-521,9/23/2023 8:51:25 AM,2023-09-22 23:20:00,2023-09-23 08:51:25
245,ATJ,14,BATCHSTART,9/23/2023 8:51:25 AM,MTV-A3-521,,,12500,12500,2100,JA1-A3-521,9/23/2023 2:48:34 PM,2023-09-23 08:51:25,2023-09-23 14:48:34
247,ATJ,14,BATCHSTART,9/23/2023 2:48:34 PM,MUC-A3-522,,,5000,5000,2100,JA1-A3-521,9/23/2023 5:11:25 PM,2023-09-23 14:48:34,2023-09-23 17:11:25
249,ATJ,14,BATCHSTART,9/23/2023 5:11:25 PM,MXE-A3-523,,,10000,10000,2100,JA1-A3-521,9/23/2023 9:57:08 PM,2023-09-23 17:11:25,2023-09-23 21:57:08
251,ATJ,14,BATCHSTART,9/23/2023 9:57:08 PM,QTC-A3-521,,,40000,40000,2100,JA1-A3-521,9/24/2023 5:00:00 PM,2023-09-23 21:57:08,2023-09-24 17:00:00
253,ATJ,14,BATCHSTART,9/24/2023 5:00:00 PM,SUN-A3-521,,,3000,3000,2100,JA1-A3-521,9/24/2023 6:25:42 PM,2023-09-24 17:00:00,2023-09-24 18:25:42
255,ATJ,14,BATCHSTART,9/24/2023 6:25:42 PM,TRA-A3-521,,,5000,5000,2100,JA1-A3-521,9/24/2023 8:48:34 PM,2023-09-24 18:25:42,2023-09-24 20:48:34
257,ATJ,14,BATCHSTART,9/24/2023 8:48:34 PM,VAL-A3-52E,,,6000,6000,2100,JA1-A3-521,9/24/2023 11:40:00 PM,2023-09-24 20:48:34,2023-09-24 23:40:00
261,ATJ,14,BATCHSTART,9/24/2023 11:40:00 PM,MOB-D3-521,,,2500,2500,2100,JA1-D3-521,9/25/2023 12:51:25 AM,2023-09-24 23:40:00,2023-09-25 00:51:25
263,ATJ,14,BATCHSTART,9/25/2023 12:51:25 AM,MTV-D3-521,,,2500,2500,2100,JA1-D3-521,9/25/2023 2:02:51 AM,2023-09-25 00:51:25,2023-09-25 02:02:51
265,ATJ,14,BATCHSTART,9/25/2023 2:02:51 AM,MXE-D3-521,,,7500,7500,2100,JA1-D3-521,9/25/2023 5:37:08 AM,2023-09-25 02:02:51,2023-09-25 05:37:08
