,Tank Farm,Line,Event Type,Start Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch,Stop Date Time,Start,Stop
563,ATJ,19,BATCHSTART,9/23/2023 11:45:30 AM,DKS-A3-521,,,25000,25000,4800,JA1-A3-521,9/23/2023 4:58:00 PM,2023-09-23 11:45:30,2023-09-23 16:58:00
565,ATJ,19,BATCHSTART,9/23/2023 4:58:00 PM,FHR-A3-521,,,5000,5000,4800,JA1-A3-521,9/23/2023 6:00:30 PM,2023-09-23 16:58:00,2023-09-23 18:00:30
567,ATJ,19,BATCHSTART,9/23/2023 6:00:30 PM,MAC-A3-521,,,175000,175000,4800,JA1-A3-521,9/25/2023 6:28:00 AM,2023-09-23 18:00:30,2023-09-25 06:28:00
569,ATJ,19,BATCHSTART,9/25/2023 6:28:00 AM,MOB-A3-521,,,53500,53500,4800,JA1-A3-521,9/25/2023 5:36:45 PM,2023-09-25 06:28:00,2023-09-25 17:36:45
571,ATJ,19,BATCHSTART,9/25/2023 5:36:45 PM,MUC-A3-522,,,30000,30000,4800,JA1-A3-521,9/25/2023 11:51:45 PM,2023-09-25 17:36:45,2023-09-25 23:51:45
573,ATJ,19,BATCHSTART,9/25/2023 11:51:45 PM,MXE-A3-526,,,7500,7500,4800,JA1-A3-521,9/26/2023 1:25:30 AM,2023-09-25 23:51:45,2023-09-26 01:25:30
575,ATJ,19,BATCHSTART,9/26/2023 1:25:30 AM,PHI-A3-521,,,15000,15000,4800,JA1-A3-521,9/26/2023 4:33:00 AM,2023-09-26 01:25:30,2023-09-26 04:33:00
577,ATJ,19,BATCHSTART,9/26/2023 4:33:00 AM,SUN-A3-521,,,2500,2500,4800,JA1-A3-521,9/26/2023 5:04:15 AM,2023-09-26 04:33:00,2023-09-26 05:04:15
579,ATJ,19,BATCHSTART,9/26/2023 5:04:15 AM,TAR-A3-521,,,15000,15000,4800,JA1-A3-521,9/26/2023 8:11:45 AM,2023-09-26 05:04:15,2023-09-26 08:11:45
581,ATJ,19,BATCHSTART,9/26/2023 8:11:45 AM,VAL-A3-52D,,,4000,4000,4800,JA1-A3-521,9/26/2023 9:01:45 AM,2023-09-26 08:11:45,2023-09-26 09:01:45
583,ATJ,19,BATCHSTART,9/26/2023 9:01:45 AM,SHT-A3-52B,,,95000,95000,4800,JA1-A3-521,9/27/2023 4:49:15 AM,2023-09-26 09:01:45,2023-09-27 04:49:15
587,ATJ,19,BATCHSTART,9/27/2023 4:49:15 AM,TAR-M3-521,,,7500,7500,4800,JA1-M3-521,9/27/2023 6:23:00 AM,2023-09-27 04:49:15,2023-09-27 06:23:00
591,ATJ,19,BATCHSTART,9/27/2023 6:23:00 AM,MAC-D3-521,,,25000,25000,4800,JA1-D3-521,9/27/2023 11:35:30 AM,2023-09-27 06:23:00,2023-09-27 11:35:30
593,ATJ,19,BATCHSTART,9/27/2023 11:35:30 AM,MOB-D3-521,,,2500,2500,4800,JA1-D3-521,9/27/2023 12:06:45 PM,2023-09-27 11:35:30,2023-09-27 12:06:45
595,ATJ,19,BATCHSTART,9/27/2023 12:06:45 PM,MUC-D3-522,,,3500,3500,4800,JA1-D3-521,9/27/2023 12:50:30 PM,2023-09-27 12:06:45,2023-09-27 12:50:30
597,ATJ,19,BATCHSTART,9/27/2023 12:50:30 PM,PHI-D3-521,,,5000,5000,4800,JA1-D3-521,9/27/2023 1:53:00 PM,2023-09-27 12:50:30,2023-09-27 13:53:00
599,ATJ,19,BATCHSTART,9/27/2023 1:53:00 PM,BPO-D3-521,,,5000,5000,4800,JA1-D3-521,9/27/2023 2:55:30 PM,2023-09-27 13:53:00,2023-09-27 14:55:30
601,ATJ,19,BATCHSTART,9/27/2023 2:55:30 PM,SHT-D3-52B,,,12500,12500,4800,JA1-D3-521,9/27/2023 5:31:45 PM,2023-09-27 14:55:30,2023-09-27 17:31:45
605,ATJ,20,BATCHSTART,9/28/2023 10:53:15 AM,FGX-96-529,,,500,500,1600,JA1-96-521,9/28/2023 11:12:00 AM,2023-09-28 10:53:15,2023-09-28 11:12:00
609,ATJ,20,BATCHSTART,9/28/2023 11:12:00 AM,AAL-54-521,,,7500,7500,1600,JA1-54-521,9/28/2023 3:53:15 PM,2023-09-28 11:12:00,2023-09-28 15:53:15
611,ATJ,20,BATCHSTART,9/28/2023 3:53:15 PM,BZA-54-521,,,10000,10000,1600,JA1-54-521,9/28/2023 10:08:15 PM,2023-09-28 15:53:15,2023-09-28 22:08:15
613,ATJ,20,BATCHSTART,9/28/2023 10:08:15 PM,ETI-54-521,,,5000,5000,1600,JA1-54-521,9/29/2023 1:15:45 AM,2023-09-28 22:08:15,2023-09-29 01:15:45
615,ATJ,20,BATCHSTART,9/29/2023 1:15:45 AM,SWJ-54-521,,,12500,12500,1600,JA1-54-521,9/29/2023 9:04:30 AM,2023-09-29 01:15:45,2023-09-29 09:04:30
617,ATJ,20,BATCHSTART,9/29/2023 9:04:30 AM,WFS-54-521,,,10000,10000,1600,JA1-54-521,9/29/2023 3:19:30 PM,2023-09-29 09:04:30,2023-09-29 15:19:30
621,ATJ,20,BATCHSTART,9/29/2023 3:19:30 PM,ATL-62-521,,,5000,5000,1600,JA1-62-521,9/29/2023 6:27:00 PM,2023-09-29 15:19:30,2023-09-29 18:27:00
623,ATJ,20,BATCHSTART,9/29/2023 6:27:00 PM,MGC-62-521,,,5000,5000,1600,JA1-62-521,9/29/2023 9:34:30 PM,2023-09-29 18:27:00,2023-09-29 21:34:30
625,ATJ,20,BATCHSTART,9/29/2023 9:34:30 PM,RKO-62-521,,,5000,5000,1600,JA1-62-521,9/30/2023 12:42:00 AM,2023-09-29 21:34:30,2023-09-30 00:42:00
627,ATJ,20,BATCHSTART,9/30/2023 12:42:00 AM,VTL-62-521,,,5000,5000,1600,JA1-62-521,9/30/2023 3:49:30 AM,2023-09-30 00:42:00,2023-09-30 03:49:30
629,ATJ,20,BATCHSTART,9/30/2023 3:49:30 AM,BPO-62-521,,,7500,7500,1600,JA1-62-521,9/30/2023 8:30:45 AM,2023-09-30 03:49:30,2023-09-30 08:30:45
631,ATJ,20,BATCHSTART,9/30/2023 8:30:45 AM,CIT-62-521,,,5000,5000,1600,JA1-62-521,9/30/2023 11:38:15 AM,2023-09-30 08:30:45,2023-09-30 11:38:15
633,ATJ,20,BATCHSTART,9/30/2023 11:38:15 AM,DKS-62-521,,,13500,13500,1600,JA1-62-521,9/30/2023 8:04:30 PM,2023-09-30 11:38:15,2023-09-30 20:04:30
635,ATJ,20,BATCHSTART,9/30/2023 8:04:30 PM,EVA-62-52B,,,20000,20000,1600,JA1-62-521,10/1/2023 8:34:30 AM,2023-09-30 20:04:30,2023-10-01 08:34:30
637,ATJ,20,BATCHSTART,10/1/2023 8:34:30 AM,FHR-62-521,,,5000,5000,1600,JA1-62-521,10/1/2023 11:42:00 AM,2023-10-01 08:34:30,2023-10-01 11:42:00
639,ATJ,20,BATCHSTART,10/1/2023 11:42:00 AM,GPC-62-521,,,15000,15000,1600,JA1-62-521,10/1/2023 9:04:30 PM,2023-10-01 11:42:00,2023-10-01 21:04:30
641,ATJ,20,BATCHSTART,10/1/2023 9:04:30 PM,JWE-62-521,,,10000,10000,1600,JA1-62-521,10/2/2023 3:19:30 AM,2023-10-01 21:04:30,2023-10-02 03:19:30
643,ATJ,20,BATCHSTART,10/2/2023 3:19:30 AM,MAC-62-521,,,12500,12500,1600,JA1-62-521,10/2/2023 11:08:15 AM,2023-10-02 03:19:30,2023-10-02 11:08:15
645,ATJ,20,BATCHSTART,10/2/2023 11:08:15 AM,MFD-62-521,,,5000,5000,1600,JA1-62-521,10/2/2023 2:15:45 PM,2023-10-02 11:08:15,2023-10-02 14:15:45
647,ATJ,20,BATCHSTART,10/2/2023 2:15:45 PM,MOB-62-521,,,10000,10000,1600,JA1-62-521,10/2/2023 8:30:45 PM,2023-10-02 14:15:45,2023-10-02 20:30:45
649,ATJ,20,BATCHSTART,10/2/2023 8:30:45 PM,MUC-62-522,,,7000,7000,1600,JA1-62-521,10/3/2023 12:53:15 AM,2023-10-02 20:30:45,2023-10-03 00:53:15
651,ATJ,20,BATCHSTART,10/3/2023 12:53:15 AM,MUS-62-52A,,,15000,15000,1600,JA1-62-521,10/3/2023 10:15:45 AM,2023-10-03 00:53:15,2023-10-03 10:15:45
653,ATJ,20,BATCHSTART,10/3/2023 10:15:45 AM,MXE-62-521,,,5000,5000,1600,JA1-62-521,10/3/2023 1:23:15 PM,2023-10-03 10:15:45,2023-10-03 13:23:15
655,ATJ,20,BATCHSTART,10/3/2023 1:23:15 PM,PHI-62-521,,,17500,17500,1600,JA1-62-521,10/4/2023 12:19:30 AM,2023-10-03 13:23:15,2023-10-04 00:19:30
657,ATJ,20,BATCHSTART,10/4/2023 12:19:30 AM,PTC-62-521,,,6000,6000,1600,JA1-62-521,10/4/2023 4:04:30 AM,2023-10-04 00:19:30,2023-10-04 04:04:30
659,ATJ,20,BATCHSTART,10/4/2023 4:04:30 AM,QTC-62-521,,,5000,5000,1600,JA1-62-521,10/4/2023 7:12:00 AM,2023-10-04 04:04:30,2023-10-04 07:12:00
661,ATJ,20,BATCHSTART,10/4/2023 7:12:00 AM,SBP-62-521,,,15000,15000,1600,JA1-62-521,10/4/2023 4:34:30 PM,2023-10-04 07:12:00,2023-10-04 16:34:30
663,ATJ,20,BATCHSTART,10/4/2023 4:34:30 PM,SBS-62-521,,,25000,25000,1600,JA1-62-521,10/5/2023 8:12:00 AM,2023-10-04 16:34:30,2023-10-05 08:12:00
665,ATJ,20,BATCHSTART,10/5/2023 8:12:00 AM,SUN-62-521,,,5000,5000,1600,JA1-62-521,10/5/2023 11:19:30 AM,2023-10-05 08:12:00,2023-10-05 11:19:30
667,ATJ,20,BATCHSTART,10/5/2023 11:19:30 AM,SVE-62-521,,,10000,10000,1600,JA1-62-521,10/5/2023 5:34:30 PM,2023-10-05 11:19:30,2023-10-05 17:34:30
669,ATJ,20,BATCHSTART,10/5/2023 5:34:30 PM,TAR-62-521,,,10279,30000,1600,JA1-62-521,10/5/2023 11:59:57 PM,2023-10-05 17:34:30,2023-10-05 23:59:57
673,ATJ,1A,BATCHSTART,9/24/2023 7:12:00 AM,MAC-A3-521,MAC,MAC,54500,55000,2900,JA1-A3-521,9/25/2023 2:00:00 AM,2023-09-24 07:12:00,2023-09-25 02:00:00
677,ATJ,1A,BATCHSTART,9/25/2023 2:00:00 AM,CPT-A3-52A,CPT,CPT,25000,25000,2900,JA1-A3-521,9/25/2023 10:37:00 AM,2023-09-25 02:00:00,2023-09-25 10:37:00
681,ATJ,1A,BATCHSTART,9/25/2023 10:37:00 AM,CPT-A3-52B,CPT,CPT,7500,7500,2900,JA1-A3-521,9/25/2023 1:12:00 PM,2023-09-25 10:37:00,2023-09-25 13:12:00
685,ATJ,1A,BATCHSTART,10/1/2023 10:51:00 AM,CPT-D3-52A,CPT,CPT,7500,7500,2900,JA1-D3-521,10/1/2023 1:26:00 PM,2023-10-01 10:51:00,2023-10-01 13:26:00
689,ATJ,1A,BATCHSTART,10/1/2023 1:26:00 PM,MAC-A3-521,MAC,MAC,500,55000,2900,JA1-A3-521,10/1/2023 1:36:00 PM,2023-10-01 13:26:00,2023-10-01 13:36:00
693,ATJ,1A,BATCHSTART,10/1/2023 1:36:00 PM,MAC-D3-521,MAC,MAC,7500,7500,2900,JA1-D3-521,10/1/2023 4:12:00 PM,2023-10-01 13:36:00,2023-10-01 16:12:00
697,ATJ,2A,BATCHSTART,9/26/2023 7:28:00 PM,MAC-62-521,MAC,MAC,35000,35000,2850,JA1-62-521,9/27/2023 7:45:00 AM,2023-09-26 19:28:00,2023-09-27 07:45:00
701,ATJ,2A,BATCHSTART,9/27/2023 7:45:00 AM,CPT-62-52A,CPT,CPT,7500,7500,2850,JA1-62-521,9/27/2023 10:23:00 AM,2023-09-27 07:45:00,2023-09-27 10:23:00
