,Cycle,Timestamp,Line,Product,Volume,Start Date Time,Stop Date Time
90,52,09/23/2023 23:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
91,52,09/24/2023 00:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
92,52,09/24/2023 00:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
93,52,09/24/2023 00:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
94,52,09/24/2023 01:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
95,52,09/24/2023 01:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
96,52,09/24/2023 01:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
97,52,09/24/2023 02:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
98,52,09/24/2023 02:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
99,52,09/24/2023 02:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
100,52,09/24/2023 03:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
101,52,09/24/2023 03:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
102,52,09/24/2023 03:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
103,52,09/24/2023 04:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
104,52,09/24/2023 04:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
105,52,09/24/2023 04:00,18,A,3780.0,9/24/2023 4:22:00 AM,9/24/2023 11:57:00 AM
106,52,09/24/2023 04:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
107,52,09/24/2023 05:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
108,52,09/24/2023 05:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
109,52,09/24/2023 05:00,18,A,6000.0,9/24/2023 4:22:00 AM,9/24/2023 11:57:00 AM
110,52,09/24/2023 05:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
111,52,09/24/2023 06:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
112,52,09/24/2023 06:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
113,52,09/24/2023 06:00,18,A,6000.0,9/24/2023 4:22:00 AM,9/24/2023 11:57:00 AM
114,52,09/24/2023 06:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
115,52,09/24/2023 07:00,01,A,11938.0,9/24/2023 7:12:39 AM,9/24/2023 6:36:09 PM
116,52,09/24/2023 07:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
117,52,09/24/2023 07:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
118,52,09/24/2023 07:00,18,A,6000.0,9/24/2023 4:22:00 AM,9/24/2023 11:57:00 AM
