,Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch
99,ATJ,02,BATCHSTART,9/24/2023 12:08:49 PM,EPV-54-521,,,15000,15000,8303,JA1-54-521
100,ATJ,02,BATCHSTOP,9/24/2023 1:57:13 PM,EPV-54-521,,,0,0,0,JA1-54-521
101,ATJ,02,BATCHSTART,9/24/2023 1:57:13 PM,ETI-54-521,,,199000,199000,8303,JA1-54-521
102,ATJ,02,BATCHSTOP,9/25/2023 1:55:15 PM,ETI-54-521,,,0,0,0,JA1-54-521
103,ATJ,02,BATCHSTART,9/25/2023 1:55:15 PM,PHI-54-521,,,8000,8000,8303,JA1-54-521
104,ATJ,02,BATCHSTOP,9/25/2023 2:53:04 PM,PHI-54-521,,,0,0,0,JA1-54-521
105,ATJ,02,BATCHSTART,9/25/2023 2:53:04 PM,SWJ-54-521,,,35000,35000,8303,JA1-54-521
106,ATJ,02,BATCHSTOP,9/25/2023 7:05:59 PM,SWJ-54-521,,,0,0,0,JA1-54-521
107,ATJ,02,BATCHSTART,9/25/2023 7:05:59 PM,TMS-54-521,,,15000,15000,8303,JA1-54-521
108,ATJ,02,BATCHSTOP,9/25/2023 8:54:23 PM,TMS-54-521,,,0,0,0,JA1-54-521
109,ATJ,02,BATCHSTART,9/25/2023 8:54:23 PM,TMS-54-521,,,20000,20000,8303,JA1-54-521
110,ATJ,02,BATCHSTOP,9/25/2023 11:18:54 PM,TMS-54-521,,,0,0,0,JA1-54-521
111,ATJ,02,BATCHSTART,9/25/2023 11:18:54 PM,WFS-54-521,,,32480,32500,8303,JA1-54-521
112,ATJ,02,BATCHSTOP,9/26/2023 3:13:37 AM,WFS-54-521,,,0,0,0,JA1-54-521
113,ATJ,02,SUPERSTOP,9/26/2023 3:13:36 AM,JA1-54-521,,,0,0,0,None
114,ATJ,02,SUPERSTART,9/26/2023 6:26:21 AM,JA1-62-521,,,1069965,1070000,12167,JA1-62-521
115,ATJ,02,BATCHSTART,9/26/2023 6:26:21 AM,ATL-62-521,,,10000,10000,12167,JA1-62-521
116,ATJ,02,BATCHSTOP,9/26/2023 7:15:40 AM,ATL-62-521,,,0,0,0,JA1-62-521
117,ATJ,02,BATCHSTART,9/26/2023 7:15:40 AM,BPO-62-521,,,29000,29000,12167,JA1-62-521
118,ATJ,02,BATCHSTOP,9/26/2023 9:38:41 AM,BPO-62-521,,,0,0,0,JA1-62-521
119,ATJ,02,BATCHSTART,9/26/2023 9:38:41 AM,CIT-62-521,,,30000,30000,12167,JA1-62-521
120,ATJ,02,BATCHSTOP,9/26/2023 12:06:37 PM,CIT-62-521,,,0,0,0,JA1-62-521
121,ATJ,02,BATCHSTART,9/26/2023 12:06:37 PM,CNL-62-521,,,10000,10000,12167,JA1-62-521
122,ATJ,02,BATCHSTOP,9/26/2023 12:55:56 PM,CNL-62-521,,,0,0,0,JA1-62-521
123,ATJ,02,BATCHSTART,9/26/2023 12:55:56 PM,DKS-62-521,,,23500,23500,12167,JA1-62-521
124,ATJ,02,BATCHSTOP,9/26/2023 2:51:49 PM,DKS-62-521,,,0,0,0,JA1-62-521
125,ATJ,02,BATCHSTART,9/26/2023 2:51:49 PM,EVA-62-52B,,,37500,37500,12167,JA1-62-521
126,ATJ,02,BATCHSTOP,9/26/2023 5:56:45 PM,EVA-62-52B,,,0,0,0,JA1-62-521
127,ATJ,02,BATCHSTART,9/26/2023 5:56:45 PM,FHR-62-521,,,25000,25000,12167,JA1-62-521
128,ATJ,02,BATCHSTOP,9/26/2023 8:00:02 PM,FHR-62-521,,,0,0,0,JA1-62-521
129,ATJ,02,BATCHSTART,9/26/2023 8:00:02 PM,GPC-62-521,,,15000,15000,12167,JA1-62-521
130,ATJ,02,BATCHSTOP,9/26/2023 9:14:00 PM,GPC-62-521,,,0,0,0,JA1-62-521
