,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
76,350,18,54,84,120,120,7,9/27/2022 0:00,9/27/2022 1:00,4
28,316,1,D,9,121,122,8.88E-16,9/27/2022 1:00,9/27/2022 3:00,4
64,337,15,D,75,121,131,47.7,9/27/2022 1:00,9/27/2022 12:00,46
75,350,16,54,83,121,131,23.65,9/27/2022 1:00,9/27/2022 12:00,4
83,352,18,54,90,121,121,8.7,9/27/2022 1:00,9/27/2022 2:00,6
111,376,13,62,112,122,122,2,9/27/2022 2:00,9/27/2022 3:00,
65,337,19,D,76,124,131,36.4,9/27/2022 4:00,9/27/2022 12:00,46
91,360,18,62,96,124,127,34.8,9/27/2022 4:00,9/27/2022 8:00,7
63,337,1,D,18,125,125,1.21E-10,9/27/2022 5:00,9/27/2022 6:00,46
106,373,18,62,108,128,128,8.7,9/27/2022 8:00,9/27/2022 9:00,10
102,371,18,62,105,129,129,8.7,9/27/2022 9:00,9/27/2022 10:00,10
14,312,1A,D,39,130,130,5,9/27/2022 10:00,9/27/2022 11:00,40
113,376,18,62,114,130,130,8.7,9/27/2022 10:00,9/27/2022 11:00,
32,316,1A,D,52,131,131,5,9/27/2022 11:00,9/27/2022 12:00,4
