Rank,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
87,336,01,A,14,142,142,14.923,2023-09-28 03:00:00,2023-09-28 04:00:00,27.0
88,336,14,A,111,9,13,10.5,2023-09-22 14:00:00,2023-09-22 19:00:00,27.0
89,336,14,A,112,17,17,2.1,2023-09-22 22:00:00,2023-09-22 23:00:00,27.0
90,336,14,A,113,52,53,4.2,2023-09-24 09:00:00,2023-09-24 11:00:00,27.0
91,336,15,A,114,46,46,3.7,2023-09-24 03:00:00,2023-09-24 04:00:00,27.0
92,336,19,A,115,85,85,4.8,2023-09-25 18:00:00,2023-09-25 19:00:00,27.0
93,338,01,A,15,52,52,14.923,2023-09-24 09:00:00,2023-09-24 10:00:00,28.0
94,338,01,A,16,149,150,29.846,2023-09-28 10:00:00,2023-09-28 12:00:00,28.0
95,338,14,A,116,1,1,1.113,2023-09-22 06:00:00,2023-09-22 07:00:00,28.0
96,338,14,A,117,15,15,2.1,2023-09-22 20:00:00,2023-09-22 21:00:00,28.0
97,338,14,A,118,21,21,2.1,2023-09-23 02:00:00,2023-09-23 03:00:00,28.0
98,338,18,A,119,66,66,6.0,2023-09-24 23:00:00,2023-09-25 00:00:00,28.0
99,338,19,A,120,51,52,9.6,2023-09-24 08:00:00,2023-09-24 10:00:00,28.0
100,338,1A,A,121,72,74,8.7,2023-09-25 05:00:00,2023-09-25 08:00:00,28.0
101,338,1A,A,122,77,81,12.18,2023-09-25 10:00:00,2023-09-25 15:00:00,28.0
102,339,01,A,17,53,53,14.923,2023-09-24 10:00:00,2023-09-24 11:00:00,36.0
103,339,01,A,18,132,141,149.23,2023-09-27 17:00:00,2023-09-28 03:00:00,36.0
104,339,01,A,19,163,164,29.846,2023-09-29 00:00:00,2023-09-29 02:00:00,36.0
105,339,14,A,123,22,23,4.2,2023-09-23 03:00:00,2023-09-23 05:00:00,36.0
106,339,15,A,124,20,22,9.065,2023-09-23 01:00:00,2023-09-23 04:00:00,36.0
107,339,15,A,125,24,24,3.7,2023-09-23 05:00:00,2023-09-23 06:00:00,36.0
108,339,15,A,126,44,44,3.7,2023-09-24 01:00:00,2023-09-24 02:00:00,36.0
109,339,18,A,127,55,55,6.0,2023-09-24 12:00:00,2023-09-24 13:00:00,36.0
110,339,18,A,128,71,71,6.0,2023-09-25 04:00:00,2023-09-25 05:00:00,36.0
111,339,19,A,129,97,97,4.8,2023-09-26 06:00:00,2023-09-26 07:00:00,36.0
112,339,1A,A,130,53,55,8.7,2023-09-24 10:00:00,2023-09-24 13:00:00,36.0
113,339,1A,A,131,65,65,2.9,2023-09-24 22:00:00,2023-09-24 23:00:00,36.0
114,352,02,54,20,69,71,24.909,2023-09-25 02:00:00,2023-09-25 05:00:00,25.0
