Code,Start Date/Time,End Date/Time,S/C,Tnk,Line,Volume,Tank,Product Grade,BTank,Volume_Tank,Rate,Operation Code - Comment,file,Start,End,Identifier,OJKLation Code - Comment,OGHIation Code - Comment,Client,Product,Cycle,Type,Time_difference,Time_in_hours,Vol_per_Hr,Exclude,Pick,Rank
JA1-54-031,2023-01-26 15:30:00,2023-01-26 18:26:00,,,13,6.0,353,54,353,114.978,2.04,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-26 15:30:00,2023-01-26 18:26:00,JA1-54-031//2023-01-26 15:30:00//2023-01-26 18:26:00//13,,,JA1,54,031,Out,0 days 02:56:00,2.933333333333333,2.0454545454545454,0,1.0,2
JA1-62-031,2023-01-26 18:26:00,2023-01-28 00:00:00,,,13,57.64,374,62,374,67.803,1.95,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-26 18:26:00,2023-01-28 00:00:00,JA1-62-031//2023-01-26 18:26:00//2023-01-28 00:00:00//13,,,JA1,62,031,Out,1 days 05:34:00,29.566666666666666,1.9494926719278467,0,1.0,1
JA1-A4-031,2023-01-24 13:03:00,2023-01-26 20:51:00,,,14,133.949,317,A4,336,139.951,2.4,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-24 13:03:00,2023-01-26 20:51:00,JA1-A4-031//2023-01-24 13:03:00//2023-01-26 20:51:00//14,,,JA1,A,031,Out,2 days 07:48:00,55.8,2.400519713261649,0,1.0,8
JA1-A4-031,2023-01-26 20:51:00,2023-01-27 01:03:00,,,14,10.051,336,A4,336,61.931,2.4,Empty to Scheduled Volume and Shutdown,ATJ.2023.01.18.xlsx,2023-01-26 20:51:00,2023-01-27 01:03:00,JA1-A4-031//2023-01-26 20:51:00//2023-01-27 01:03:00//14,,,JA1,A,031,Out,0 days 04:12:00,4.2,2.393095238095238,0,1.0,3
JA1-62-031,2023-01-27 13:18:00,2023-01-28 00:00:00,,,14,23.54,371,62,371,78.935,2.2,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 13:18:00,2023-01-28 00:00:00,JA1-62-031//2023-01-27 13:18:00//2023-01-28 00:00:00//14,,,JA1,62,031,Out,0 days 10:42:00,10.7,2.2,0,1.0,4
JA1-A4-031,2023-01-22 06:34:00,2023-01-23 19:32:00,,,15,134.893,317,A4,330,30.955,3.65,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-22 06:34:00,2023-01-23 19:32:00,JA1-A4-031//2023-01-22 06:34:00//2023-01-23 19:32:00//15,,,JA1,A,031,Out,1 days 12:58:00,36.96666666666667,3.649044183949504,0,1.0,1
JA1-A4-031,2023-01-23 19:32:00,2023-01-24 12:08:00,,,15,60.607,330,A4,330,120.478,3.65,Empty to Scheduled Volume and Shutdown,ATJ.2023.01.18.xlsx,2023-01-23 19:32:00,2023-01-24 12:08:00,JA1-A4-031//2023-01-23 19:32:00//2023-01-24 12:08:00//15,,,JA1,A,031,Out,0 days 16:36:00,16.6,3.651024096385542,0,1.0,2
JA1-D4-031,2023-01-26 02:30:00,2023-01-27 00:08:00,,,15,79.0,312,D4,312,121.172,3.65,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-26 02:30:00,2023-01-27 00:08:00,JA1-D4-031//2023-01-26 02:30:00//2023-01-27 00:08:00//15,,,JA1,D,031,Out,0 days 21:38:00,21.633333333333333,3.651771956856703,0,1.0,2
JA1-54-031,2023-01-25 13:09:00,2023-01-25 22:57:00,,,16,21.099,350,54,351,24.564,2.15,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-25 13:09:00,2023-01-25 22:57:00,JA1-54-031//2023-01-25 13:09:00//2023-01-25 22:57:00//16,,,JA1,54,031,Out,0 days 09:48:00,9.8,2.1529591836734694,0,1.0,2
JA1-54-031,2023-01-25 22:57:00,2023-01-26 14:09:00,,,16,32.679,351,54,352,37.185,2.15,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-25 22:57:00,2023-01-26 14:09:00,JA1-54-031//2023-01-25 22:57:00//2023-01-26 14:09:00//16,,,JA1,54,031,Out,0 days 15:12:00,15.2,2.149934210526316,0,1.0,2
JA1-54-031,2023-01-26 14:09:00,2023-01-28 00:00:00,,,16,72.746,352,54,352,84.447,2.15,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-26 14:09:00,2023-01-28 00:00:00,JA1-54-031//2023-01-26 14:09:00//2023-01-28 00:00:00//16,,,JA1,54,031,Out,1 days 09:51:00,33.85,2.149069423929099,0,1.0,2
JA1-A4-031,2023-01-26 11:56:00,2023-01-27 06:48:00,,,17,79.248,338,A4,336,85.188,4.2,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-26 11:56:00,2023-01-27 06:48:00,JA1-A4-031//2023-01-26 11:56:00//2023-01-27 06:48:00//17,,,JA1,A,031,Out,0 days 18:52:00,18.866666666666667,4.200424028268551,0,1.0,2
JA1-A4-031,2023-01-27 06:48:00,2023-01-27 18:09:00,,,17,48.06,336,A4,331,51.88,4.2,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-27 06:48:00,2023-01-27 18:09:00,JA1-A4-031//2023-01-27 06:48:00//2023-01-27 18:09:00//17,,,JA1,A,031,Out,0 days 11:21:00,11.35,4.234361233480176,0,1.0,4
JA1-A4-031,2023-01-27 18:09:00,2023-01-28 00:00:00,,,17,28.016,331,A4,331,109.813,4.8,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 18:09:00,2023-01-28 00:00:00,JA1-A4-031//2023-01-27 18:09:00//2023-01-28 00:00:00//17,,,JA1,A,031,Out,0 days 05:51:00,5.85,4.789059829059829,0,1.0,4
JA1-A4-031,2023-01-24 03:47:00,2023-01-24 21:04:00,,,18,97.422,332,A4,331,102.15,5.85,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-24 03:47:00,2023-01-24 21:04:00,JA1-A4-031//2023-01-24 03:47:00//2023-01-24 21:04:00//18,,,JA1,A,031,Out,0 days 17:17:00,17.283333333333335,5.636759884281581,0,1.0,2
JA1-A4-031,2023-01-24 21:04:00,2023-01-25 15:12:00,,,18,106.072,331,A4,330,109.813,5.85,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-24 21:04:00,2023-01-25 15:12:00,JA1-A4-031//2023-01-24 21:04:00//2023-01-25 15:12:00//18,,,JA1,A,031,Out,0 days 18:08:00,18.133333333333333,5.849558823529412,0,1.0,3
JA1-A4-031,2023-01-25 15:12:00,2023-01-26 10:59:00,,,18,115.653,330,A4,336,120.478,5.85,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-25 15:12:00,2023-01-26 10:59:00,JA1-A4-031//2023-01-25 15:12:00//2023-01-26 10:59:00//18,,,JA1,A,031,Out,0 days 19:47:00,19.783333333333335,5.845981465880371,0,1.0,4
